iter	Passed	Remaining
0	9	9529
1	16	8469
2	23	7919
3	31	7798
4	38	7602
5	47	7816
6	54	7707
7	63	7897
8	70	7759
9	78	7800
10	86	7753
11	93	7725
12	101	7675
13	109	7718
14	116	7675
15	125	7701
16	132	7678
17	140	7669
18	148	7681
19	157	7703
20	165	7704
21	172	7673
22	180	7658
23	184	7487
24	192	7493
25	199	7469
26	207	7493
27	215	7476
28	224	7519
29	232	7501
30	240	7529
31	248	7503
32	257	7538
33	264	7508
34	272	7500
35	279	7492
36	286	7465
37	294	7454
38	301	7435
39	310	7448
40	317	7428
41	326	7452
42	333	7427
43	342	7443
44	349	7423
45	358	7436
46	365	7412
47	374	7419
48	382	7414
49	391	7438
50	398	7421
51	407	7435
52	415	7417
53	424	7427
54	431	7407
55	440	7428
56	447	7403
57	456	7412
58	463	7395
59	471	7388
60	478	7363
61	486	7356
62	493	7338
63	502	7345
64	510	7339
65	519	7346
66	526	7336
67	535	7340
68	543	7327
69	551	7322
70	559	7319
71	567	7310
72	574	7295
73	582	7283
74	589	7266
75	596	7254
76	605	7259
77	612	7243
78	622	7251
79	629	7236
80	638	7239
81	645	7224
82	654	7228
83	661	7211
84	669	7209
85	676	7192
86	684	7182
87	691	7170
88	701	7177
89	708	7161
90	717	7170
91	725	7157
92	734	7162
93	741	7149
94	750	7153
95	757	7136
96	766	7133
97	773	7116
98	780	7105
99	787	7089
100	794	7075
101	803	7072
102	810	7057
103	819	7063
104	827	7050
105	835	7050
106	842	7035
107	851	7035
108	858	7020
109	868	7023
110	875	7012
111	883	7005
112	890	6989
113	899	6994
114	907	6982
115	915	6980
116	923	6967
117	932	6968
118	939	6953
119	948	6955
120	955	6941
121	963	6935
122	970	6921
123	978	6913
124	985	6897
125	993	6891
126	1001	6883
127	1008	6871
128	1017	6871
129	1025	6860
130	1033	6857
131	1041	6847
132	1050	6847
133	1057	6836
134	1065	6826
135	1072	6812
136	1080	6805
137	1087	6791
138	1096	6791
139	1103	6779
140	1112	6778
141	1119	6766
142	1129	6766
143	1136	6756
144	1145	6755
145	1152	6743
146	1161	6738
147	1168	6724
148	1174	6707
149	1181	6696
150	1189	6689
151	1198	6684
152	1206	6678
153	1214	6671
154	1222	6665
155	1230	6657
156	1239	6657
157	1247	6648
158	1255	6640
159	1263	6631
160	1270	6620
161	1278	6611
162	1285	6600
163	1293	6595
164	1300	6583
165	1310	6582
166	1316	6568
167	1327	6573
168	1334	6564
169	1344	6565
170	1352	6558
171	1360	6549
172	1368	6539
173	1376	6533
174	1383	6521
175	1392	6521
176	1400	6512
177	1410	6514
178	1417	6502
179	1427	6501
180	1434	6489
181	1442	6484
182	1450	6473
183	1457	6465
184	1465	6455
185	1473	6448
186	1480	6437
187	1490	6436
188	1497	6424
189	1506	6420
190	1513	6410
191	1522	6407
192	1529	6395
193	1539	6394
194	1546	6382
195	1554	6375
196	1561	6364
197	1569	6357
198	1576	6344
199	1585	6341
200	1593	6333
201	1601	6328
202	1609	6319
203	1618	6315
204	1625	6304
205	1634	6301
206	1642	6291
207	1651	6286
208	1658	6275
209	1665	6265
210	1673	6256
211	1680	6246
212	1689	6241
213	1697	6233
214	1705	6227
215	1713	6217
216	1721	6211
217	1728	6200
218	1737	6196
219	1744	6186
220	1752	6178
221	1759	6167
222	1767	6159
223	1774	6148
224	1784	6145
225	1791	6136
226	1800	6132
227	1807	6121
228	1816	6116
229	1824	6106
230	1833	6103
231	1840	6092
232	1848	6084
233	1855	6074
234	1863	6067
235	1870	6055
236	1878	6048
237	1886	6040
238	1894	6032
239	1902	6025
240	1910	6017
241	1918	6010
242	1926	6003
243	1935	5995
244	1942	5985
245	1950	5978
246	1957	5967
247	1965	5958
248	1972	5949
249	1981	5944
250	1988	5934
251	1998	5931
252	2005	5920
253	2014	5915
254	2021	5905
255	2030	5900
256	2037	5890
257	2045	5882
258	2052	5872
259	2060	5864
260	2067	5853
261	2075	5845
262	2083	5838
263	2091	5829
264	2098	5821
265	2106	5811
266	2115	5806
267	2124	5802
268	2135	5802
