model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_BestOfFamily_1_AutoML_1_20231110_93926,0.8012699602349863,0.1591111779340637,0.2691196711153304,0.3556630022843031,0.2007664398413143,0.040307163366556,1661,0.0173,StackedEnsemble
StackedEnsemble_BestOfFamily_2_AutoML_1_20231110_93926,0.8008415642930597,0.159376409928343,0.2657480414135396,0.3569057480673243,0.2009666432000991,0.0403875916791159,1286,0.013039,StackedEnsemble
StackedEnsemble_AllModels_1_AutoML_1_20231110_93926,0.8004079316391391,0.1593645384021625,0.2664754761234014,0.3511326432279114,0.200919565956044,0.0403686719839651,2313,0.015052,StackedEnsemble
GBM_1_AutoML_1_20231110_93926,0.7951652152475068,0.161579582709135,0.2605544284734917,0.3489900329194521,0.2017222320691354,0.0406918589109541,1258,0.029881,GBM
XGBoost_1_AutoML_1_20231110_93926,0.7926187200993341,0.1625129693966614,0.2632735243485407,0.3472663321531813,0.2016122380329084,0.0406474945246381,884,0.004483,XGBoost
GLM_1_AutoML_1_20231110_93926,0.782104608778133,0.1636913017185964,0.2464453588645739,0.3473920132410399,0.2028771008004785,0.0411591180292075,801,0.002819,GLM
GBM_3_AutoML_1_20231110_93926,0.7340617243291717,0.181773810881906,0.1938545400403054,0.3585147072645094,0.2102691108518793,0.0442130989784399,115,0.004263,GBM
GBM_4_AutoML_1_20231110_93926,0.7169741685883481,0.1807637713289447,0.1824710583804618,0.3529231326351124,0.2097899008446529,0.0440118024964093,188,0.005376,GBM
GBM_2_AutoML_1_20231110_93926,0.7140850937733355,0.1805573502506005,0.1906388517095153,0.3928414640552637,0.2093667711007429,0.0438344448411508,154,0.019345,GBM
XGBoost_2_AutoML_1_20231110_93926,0.6637679683652147,0.4176944067739769,0.1758660477940713,0.399087764770626,0.3539280275117316,0.125265048658345,163,0.006185,XGBoost
DRF_1_AutoML_1_20231110_93926,0.5810868661398808,1.0996619855284029,0.123715973717176,0.4066606260782555,0.2353794638555995,0.0554034920049495,135,0.008988,DRF
